archive_id,proposal_number,title,status,chain,created_at,executed_spend_usd,vote_count,voting_power,cost_per_vote_usd,cost_per_voting_power_usd,source_url
snapshot-0x31563b41a9581f2cac219a22d6ed5c8fbf4a639c427cd3a627b0668ce14f2a55,,[Prop. 76] - Sponsor Pedro Nem (@dabel) - 1 ETH  ,closed,snapshot,2023-03-28T00:10:02Z,1823.0,31,466.0,58.81,3.912017,https://v1.snapshot.box/#/gnars.eth/proposal/0x31563b41a9581f2cac219a22d6ed5c8fbf4a639c427cd3a627b0668ce14f2a55
snapshot-0x31d9113448e4dc06cf86cb8b2d94681297769fbe6cde158c24745c7eaf0f1b62,,Sponsor Haris Housos (skateboarding) with 3 ETH,closed,snapshot,2022-09-30T06:55:49Z,4057.77,45,769.0,90.17,5.276684,https://v1.snapshot.box/#/gnars.eth/proposal/0x31d9113448e4dc06cf86cb8b2d94681297769fbe6cde158c24745c7eaf0f1b62
snapshot-0x39abf329516ad7cb9ff48c23b30fae4b46590198421cd8a34977bb58032e7f93,,Breakdance × Nouns: Showing my breaking on Redbull BC one with Nouns T shirts and noggles ⌐◨-◨ ,closed,snapshot,2023-04-07T01:31:55Z,473.24,18,501.0,26.29,0.944581,https://v1.snapshot.box/#/gnars.eth/proposal/0x39abf329516ad7cb9ff48c23b30fae4b46590198421cd8a34977bb58032e7f93
snapshot-0x3bb0a388713c4a70b06ccb8c1bc9ffaad80e652430955a3b1c414f6bf8e51b3a,,2.5 ETH to Uganda Skateboarding Society for OTG activation,closed,snapshot,2022-08-06T06:28:23Z,4703.57,20,545.0,235.18,8.630413,https://v1.snapshot.box/#/gnars.eth/proposal/0x3bb0a388713c4a70b06ccb8c1bc9ffaad80e652430955a3b1c414f6bf8e51b3a
snapshot-0x3df77e8ebb1f5a63a35d63820dd4b4b2c78e9aa3b0b091c13752d601ebce163d,,Sponsor Joe Atkinson (inline skating) with 3 ETH,closed,snapshot,2022-07-26T00:48:56Z,5046.03,23,512.0,219.39,9.855527,https://v1.snapshot.box/#/gnars.eth/proposal/0x3df77e8ebb1f5a63a35d63820dd4b4b2c78e9aa3b0b091c13752d601ebce163d
snapshot-0x41f72da6620a57ff48a149171f03bc98a4dc48d0444455ce40e16e43758c1c5e,,Noun²gnar¹versary,closed,snapshot,2023-06-10T00:16:07Z,8253.4,23,762.0,358.84,10.831234,https://v1.snapshot.box/#/gnars.eth/proposal/0x41f72da6620a57ff48a149171f03bc98a4dc48d0444455ce40e16e43758c1c5e
snapshot-0x45e98b5ad67bbbbea2703e34d3eab60561b350612ecb8b325b6f0a1933b7cfed,,Gnartwork weekly ETH contests,closed,snapshot,2022-09-06T06:31:56Z,880.66,23,547.0,38.29,1.609982,https://v1.snapshot.box/#/gnars.eth/proposal/0x45e98b5ad67bbbbea2703e34d3eab60561b350612ecb8b325b6f0a1933b7cfed
snapshot-0x487760526824abbe7997ee2fe4887de10af737eb60d35a4165025b8f58148e50,,The Lil Gnarly Skate Jam - ETH Chicago,closed,snapshot,2023-08-03T15:31:40Z,3653.86,10,607.0,365.39,6.019539,https://v1.snapshot.box/#/gnars.eth/proposal/0x487760526824abbe7997ee2fe4887de10af737eb60d35a4165025b8f58148e50
snapshot-0x4a79512e932f6df01b0af30bc6a622c1fa72fa2a247c6fdc7c8d976fa940b2df,,[Prop. 34] Sponsor Snowboarder Kai & Film Maker Troy 3ETH Each,closed,snapshot,2022-12-14T00:44:37Z,3560.34,30,834.0,118.68,4.268993,https://v1.snapshot.box/#/gnars.eth/proposal/0x4a79512e932f6df01b0af30bc6a622c1fa72fa2a247c6fdc7c8d976fa940b2df
snapshot-0x4b0fef8be71a1beae3d7d2b31d44ee2df2ca539b36aa66a8221b346f6a713c4a,,Sponsor Luiz Hadad (surfing) with 3 ETH,closed,snapshot,2022-09-20T02:17:36Z,3882.24,20,448.0,194.11,8.665714,https://v1.snapshot.box/#/gnars.eth/proposal/0x4b0fef8be71a1beae3d7d2b31d44ee2df2ca539b36aa66a8221b346f6a713c4a
snapshot-0x54e14b3264825ebb86ab43768c279431aa83f6e480a86d5bff3341c42feeb4bb,,"[Prop. 36] Sponsor Bennie Osnow, Dakota Connole, and Sam Gnoza w/ 9 ETH (Professional Skiing)",closed,snapshot,2022-12-30T00:16:39Z,3644.28,22,765.0,165.65,4.763765,https://v1.snapshot.box/#/gnars.eth/proposal/0x54e14b3264825ebb86ab43768c279431aa83f6e480a86d5bff3341c42feeb4bb
snapshot-0x552d01d8f6172bf86262015fb4350e27fa52df606ae468f2a21376755d0135dc,,Commission Messhup collab with 2.5 ETH,closed,snapshot,2022-07-26T09:52:40Z,4205.02,18,437.0,233.61,9.622483,https://v1.snapshot.box/#/gnars.eth/proposal/0x552d01d8f6172bf86262015fb4350e27fa52df606ae468f2a21376755d0135dc
