record_type,record_id,kind,label,source,target,status,size,asset_symbol,weight,count,href,metrics_json
node,person:0x09fb7f933ddb3d5e4e9c317ab471419afd6695eb,person,0x09fb...95eb,,,active,20.93,,,,/community/0x09fb-95eb/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0a148ab4952486f99619b05f221548a8c9b0de9f,person,0x0a14...de9f,,,active,24.99,,,,/community/0x0a14-de9f/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x0a65bc88f4c43f113812e9f161875b6f31c252f8,person,0x0a65...52f8,,,active,20.93,,,,/community/0x0a65-52f8/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0a7b7374d9cba3ac9d31f18b2cd45aac4b3b442e,person,0x0a7b...442e,,,active,103.71,,,,/community/0x0a7b-442e/,"{""eth_received"": 0.0, ""usdc_received"": 7870.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0a8db3cda7b21d51f7f95f88e201d0dd35b1451a,person,0x0a8d...451a,,,active,14.0,,,,/community/0x0a8d-451a/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0aa0c63da699f46d98237fc773a06e187aa5640e,person,0x0aa0...640e,,,active,20.93,,,,/community/0x0aa0-640e/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0adfaa2fd26af99dddcc68c4efbe479c1a04c4e3,person,0x0adf...c4e3,,,active,24.99,,,,/community/0x0adf-c4e3/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x0af3c2960a28857a018dd31a273b37a99a65a1c4,person,0x0af3...a1c4,,,active,20.93,,,,/community/0x0af3-a1c4/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0b20ed7418f153a6595e0f88c682df52d54b00c4,person,0x0b20...00c4,,,active,27.86,,,,/community/0x0b20-00c4/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x0b41078fe96ad555b13eed39f30d2c7d264fdaf5,person,0x0b41...daf5,,,active,20.93,,,,/community/0x0b41-daf5/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0b7f4de10cd4c31d512c4a1d4b0fc5269b906258,person,0x0b7f...6258,,,active,20.93,,,,/community/0x0b7f-6258/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0bc7fd075906c3a14428f9745743b5945d556896,person,0x0bc7...6896,,,active,20.93,,,,/community/0x0bc7-6896/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0bd49029735d7ca4a65dc2f45c73e44f9348fc66,person,0x0bd4...fc66,,,active,42.33,,,,/community/0x0bd4-fc66/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 12, ""proposals_authored"": 1}"
node,person:0x0c6252d0830592a655a64a35b44a9a54029a98c4,person,0x0c62...98c4,,,active,20.93,,,,/community/0x0c62-98c4/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0cb27e883e207905ad2a94f9b6ef0c7a99223c37,person,0x0cb2...3c37,,,active,14.0,,,,/community/0x0cb2-3c37/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0cda304d03fb8a06ebd2678574be27784b8804e6,person,0x0cda...04e6,,,active,20.93,,,,/community/0x0cda-04e6/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x0df34e36ef3a793871442eb5a08b08adb74e7006,person,0x0df3...7006,,,active,14.0,,,,/community/0x0df3-7006/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x0e255c7c8c053186b206891ed5258918c6dba113,person,0x0e25...a113,,,active,24.99,,,,/community/0x0e25-a113/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x0e88ac34917a6bf5e36bfdc2c6c658e58078a1e6,person,0x0e88...a1e6,,,active,24.99,,,,/community/0x0e88-a1e6/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x0ef4db30f76bcbd1ee7ddbb056e699b69dfb8eae,person,0x0ef4...8eae,,,active,27.86,,,,/community/0x0ef4-8eae/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x0f2cd6bb42ad691c7a9010a739a310ccc77df005,person,0x0f2c...f005,,,active,27.86,,,,/community/0x0f2c-f005/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x0f7341c76ba4460736abec4f65a1953e824658cc,person,0x0f73...58cc,,,active,57.94,,,,/community/0x0f73-58cc/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 76, ""proposals_authored"": 1}"
node,person:0x0fb75c54038130a4bfb753c3aaaa21266625cc98,person,0x0fb7...cc98,,,active,30.09,,,,/community/0x0fb7-cc98/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 4, ""proposals_authored"": 0}"
node,person:0x1008d62e1eac47df9330d610c785bbf3c321a6c3,person,0x1008...a6c3,,,active,14.0,,,,/community/0x1008-a6c3/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x10c22a6c7b8384f95521d3714b3c3a49a1f6275b,person,0x10c2...275b,,,active,20.93,,,,/community/0x10c2-275b/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x10c3a08e1cdd302eefb4d2c1a9a7779aa4ded7b3,person,0x10c3...d7b3,,,active,20.93,,,,/community/0x10c3-d7b3/,"{""eth_received"": 0.00034, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x10c9699a2ee11ab78957f74a42fe7e0d1fd76b29,person,0x10c9...6b29,,,active,20.93,,,,/community/0x10c9-6b29/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x10d289bd2421c5b30c73a1bd7562384b1e5a9505,person,0x10d2...9505,,,active,20.93,,,,/community/0x10d2-9505/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x10d34d3cb24b38c11bbc30180ec7153e3a69594b,person,0x10d3...594b,,,active,20.93,,,,/community/0x10d3-594b/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x10f5c0f9431c3161c73a32969434f1ddf9f0df78,person,0x10f5...df78,,,active,27.86,,,,/community/0x10f5-df78/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 3, ""proposals_authored"": 0}"
node,person:0x10fbc526876d2284a59149ae221fc825d0beecfc,person,0x10fb...ecfc,,,active,31.92,,,,/community/0x10fb-ecfc/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 1}"
node,person:0x10fc964ef70c8467cd8c53e9ed9347422adf96a8,person,0x10fc...96a8,,,active,20.93,,,,/community/0x10fc-96a8/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x11404f59b482a173c22bba38e1c3fb83f7b2607a,person,0x1140...607a,,,active,40.39,,,,/community/0x1140-607a/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 13, ""proposals_authored"": 0}"
node,person:0x115ecf5e76c2f173c4476a2f79a6dc624734c575,person,0x115e...c575,,,active,20.93,,,,/community/0x115e-c575/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x1194486968c00f3585d0bdcc109f4c4f5948beed,person,0x1194...beed,,,active,20.93,,,,/community/0x1194-beed/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x11ebee2bf244325b5559f0f583722d35659ddce8,person,0x11eb...dce8,,,active,20.93,,,,/community/0x11eb-dce8/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x11f51e1474410ba36b5fa4727c109c9bc963ec75,person,0x11f5...ec75,,,active,20.93,,,,/community/0x11f5-ec75/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x1255759cd3be3dee7b52cddd1457da2a4b365ea6,person,0x1255...5ea6,,,active,20.93,,,,/community/0x1255-5ea6/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x12559c6f974f0b9a277272f2e19882906413dfe1,person,0x1255...dfe1,,,active,20.93,,,,/community/0x1255-dfe1/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x126eefa566abf5ac3efdaef52d79e962cffdb448,person,0x126e...b448,,,active,24.99,,,,/community/0x126e-b448/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x1273261b09dc30d0b6ce460d7cab5820fa42e38c,person,0x1273...e38c,,,active,35.97,,,,/community/0x1273-e38c/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 4, ""proposals_authored"": 1}"
node,person:0x12dad3425d0ec383ebd9e86139a103ce119aa0b2,person,0x12da...a0b2,,,active,24.99,,,,/community/0x12da-a0b2/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 2, ""proposals_authored"": 0}"
node,person:0x136883b2841d7de5c13ecee65788fde191da5f20,person,0x1368...5f20,,,active,14.0,,,,/community/0x1368-5f20/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x137aad5ed61b0867d8c9e2585b65b01e282d4b0f,person,0x137a...4b0f,,,active,20.93,,,,/community/0x137a-4b0f/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
